id,screen_name,followers_count
4507295733,LiamJo7o,133
15099706,ivanzhai,7304
1241536758,LiamBarrak1999,864
2534442478,KenziMac0,19
2745372635,called2minister,58
741327062,cssly,496
192916621,serdarurkmezz,206
16082893,genemarks,83753
2852605132,theJoekes,113
15433228,Newsarama,45803
546446456,OMGLaughNetwork,116
1899930624,JustinYsrael,452
2359051344,CarlyNiccoli,175
18760965,alexharknett,610
355735421,ZachHagan,338
2436392093,spacedarlin,261
338152687,sbadsgood,36132
3462080358,AxediteInnovia,50
470292666,newtoeasttexas,548
463305213,ifttwow,710
2324671106,brianobrian21,354
350438500,asadadams,408
31589036,unlikelynerd,1423
295767661,HazimRazman,200
437828459,RealJimisSlim,118
11251152,xanister,1647
400711664,_myniggabae_,213
2437159580,theriversideUCC,634
24697549,grlookout,72
16831745,KellySchwark,2287
3120433161,Beatlesinmyears,689
2680938530,USAirshow,235
49102741,TheJoeViana,188
2304179845,teuku_rauzin,131
14109794,eveofdoom,3114
42697261,KCoxDC,1586
14108564,geeksofdoom,11474
230686236,fuyomaru_live,7
266048666,VanguardComic,1369
2304189097,sudrakos,121
34923288,BrothaMagazine,870
1923729505,TechTimes_News,5601
272056038,franmontas,685
358232517,Takeoo2,267
30274908,theycallmeyogi,559
4176855263,Divulgavvideo,95
91055392,troymurphy,1661
562351803,beckerssssss,280
578340647,JoshuaLocklear2,186
2651626597,HeyPanels,4952
3094517057,SUPA_BLOG,77
583131504,justkpopfan,6025
2890483996,chargelady,184
21210173,kaguneesan,137
165824713,YBMag,157
884533776,eugenio_mf,557
125431236,hippostyle_on,769
2603549481,sidhdharthsoni,452
193182286,JohnSurico,2194
2585934920,parkmnwoo,78
230488466,smrtsrvcsold,169
372468353,Cookies_n_Krame,460
27306297,_GDPhil_,617
352536831,AnnauQ,75
14449252,ericgreen,206
3437919381,pdcmovies,361
1942328304,meg_winslow,150
1182328842,OhSnapItsJc,175
542617279,kellykietur,499
52648706,brianlian,691
41515687,airienaaline,387
435305514,anhlovestran,1351
493557127,D_Jake_G,436
912776084,PRG_Pryfe,14
631625137,KK_HeechulSJ,225
293073822,Bino_OPM,3127
350657259,FionaAlcid,611
16536743,zach_law,5899
117468332,dookyyy,4139
816545222,Study_Kpop,4588
1483564238,dealpursue1,1272
195914232,daePopcorn,340
2426804580,myungshoel,225
734866610,DenofGeekUS,14032
2574270446,Realtaiyang,81
129098286,ARaveinBIRDman,3335
21807755,WSILNews,16068
257613890,robbtuftshockey,708
24790974,MrOjelabi,437
60857850,loadedonline,60134
3376875767,soundshots_sp,1758
447147834,TrendingReport,18120
2979911812,SketchCal,256
547012434,cristacristalz,894
299127683,SheepyTina,351
1258148130,CYA_Hanbyul90,144
192338562,owenkcraig,371
308855396,TheLaSallian,35579
1179282006,bfminwho,218
2351714295,charissakenz,1789
3741497620,TWEDcom,2421
2227520402,PhilipPaulJohnR,231
4294865954,JOmiecz,233
2460696883,td_hansol,508
2582429479,soohynl,55
8559342,DaveRamsey,701542
89649626,rujiseyo,170
2586851976,lilyjieunn,99
390512247,BergerWorld,1079
891293970,acciolmj,3125
1358426503,petirmblaq,115
50271716,ieEntertainment,60001
3059072296,salmashayek,410
418070546,LiamFrost_,330
63347258,mehGON23,50
15588478,katzboaz,932
2280325974,coolcoolinfo,399
22987426,HuffPostUKEnt,30805
1895115997,mr_Konckon,93
922011,rustybrick,71726
1305112099,ryangorley,45
2513947009,kidohyy,185
1526305728,rvwhend,452
36050009,linhlam,65
186354422,vidaslv,1104
2520109352,fyjutal,97
1114238305,scoop_india,938
221328470,nadineviga,115
14076329,RapUp,264609
593615941,t2telegraph,67277
16424606,WTVM,10884
756144553,franssiscaxvria,287
714912793,eoscradio,70
142882998,DBFig,1204
28337683,_MarcoReece,580
2408397397,chenyolz,224
456328773,xcollarbones,582
1523768406,rapmonbts,177
1481643505,angelinsweet1,7743
2585271416,jjongkukk,74
1174588946,minionhakyeoN,246
17717552,fisheri,4248
125482716,moirajstevenson,277
1309552518,TMT_GooharaKR,305
2301022938,imvoon,443
1291976556,SHS_Zico,125
35821471,FamilyCircleMag,147817
19758791,HeyUGuys,44718
2347049341,voxdotcom,319943
350657259,FionaAlcid,611
80668035,ashabutterflys,14262
271770586,canikiMFKR,383
3315714887,dcathstcr,254
2576449889,alienr0b0t,162
2225063668,jeffhowison,93
71550286,arancel,200
77082002,RangerKarl,458
496028956,curio_seo,1546
249573475,thame_gazette,2423
3139405574,L_G_Anderson,18
462355260,TheFCBLad,408
203020760,Incapsula_com,31201
1284049220,jademae99,160
4176855263,Divulgavvideo,95
2849991904,MPTrending,4835
20596491,randallbell,607
3158160402,BrinkInstitute,138
2297755901,fuzzjohn16,228
76238265,MsJonesn,17108
2363960504,ppomppu_pp4,223
95660747,TrevorBoller,5594
2303740763,IamMaryJunes,607
429218846,kellzfye,91
3075458215,Monalisaofblog,278
1618259982,style_24_365,333
9638102,nlanza,269
80122500,Mikey_Orlando,178
4520427133,solocapital_uk,73
70065214,aquinoap88,71
2484884770,georgelinch_3,75
18397287,Thadsteele,81
3274304124,JennaJackman783,583
360421647,heartswiftcim,3787
291272212,Bazza141212,87
1022847942,kyleajkeenan,575
18835885,thadd_f,2121
591609347,RomilleReyes,331
952582423,benny_b99,386
901932313,HotBeakBiz,1667
6621952,TACJ,637
219836157,cherrywands,1061
2184199796,ethereaIhaz,4188
424612297,MenkTheDon,1205
15407881,Kalyr,1549
26713075,dennis_huettner,1948
220796149,DaisyOnida,162
3887579005,Kandace107,151
288660152,Iansmith3003,1244
4520427133,solocapital_uk,73
48813308,bayourunners,753
137107550,GreenPercussion,184
25379950,monki_dj,14352
16144669,rwaldron,10649
1589146410,CantbeKArlie,172
763005770,ohprincessulli,74
280195673,soyunanimalito,312
4001372139,AHauntedFigure,124
45084178,rxritalin,16
37895401,chialovesyellow,288
319292216,Ads1309,623
2764799841,XLerouge,22
15417223,israelseen,3994
